delivered_g,collected_g,sites_mined,distance_m,energy_wh,time_s,resource_per_wh,collisions,replans,strategy,seed,map_resource_g,done_reason
106.9,131.3,5,14.45,0.676,272.0,158.2,0,0,nearest,1,8570.2,site budget exhausted
178.6,178.6,5,16.71,0.766,308.3,233.2,0,0,nearest,2,6400.6,site budget exhausted
175.7,190.5,5,16.16,0.707,282.0,248.5,0,0,nearest,3,6861.3,site budget exhausted
113.8,113.8,5,18.12,0.722,283.9,157.5,0,0,nearest,4,6780.7,site budget exhausted
355.0,355.0,5,17.88,0.756,299.7,469.9,0,0,nearest,5,6474.4,site budget exhausted
118.6,118.6,5,16.74,0.706,279.9,168.0,0,0,nearest,6,6483.2,site budget exhausted
227.2,227.2,5,14.58,0.879,343.2,258.4,0,9,nearest,7,10146.0,site budget exhausted
231.4,303.4,5,11.95,0.547,217.4,422.8,0,0,nearest,8,7444.7,site budget exhausted
144.5,144.5,5,13.84,0.61,241.7,236.9,0,0,nearest,9,6446.7,site budget exhausted
74.8,74.8,5,15.91,0.659,259.7,113.4,0,0,nearest,10,6052.4,site budget exhausted
214.6,214.6,5,16.56,0.705,279.5,304.4,0,0,nearest,11,8466.4,site budget exhausted
268.3,268.3,5,12.76,0.609,243.4,440.7,0,0,nearest,12,8503.7,site budget exhausted
423.7,430.8,5,11.46,0.574,230.9,737.7,0,0,nearest,13,8843.1,site budget exhausted
268.3,277.2,5,18.87,0.773,305.6,347.3,0,0,nearest,14,7055.9,site budget exhausted
119.9,119.9,5,11.14,0.558,224.4,214.8,0,0,nearest,15,7907.9,site budget exhausted
106.9,131.3,5,14.45,0.676,272.0,158.2,0,0,shortest,1,8570.2,site budget exhausted
178.6,178.6,5,16.71,0.766,308.3,233.2,0,0,shortest,2,6400.6,site budget exhausted
193.2,226.1,5,15.59,0.691,276.1,279.6,0,0,shortest,3,6861.3,site budget exhausted
113.8,113.8,5,18.12,0.722,283.9,157.5,0,0,shortest,4,6780.7,site budget exhausted
355.0,355.0,5,17.88,0.756,299.7,469.9,0,0,shortest,5,6474.4,site budget exhausted
118.6,118.6,5,16.74,0.706,279.9,168.0,0,0,shortest,6,6483.2,site budget exhausted
227.2,227.2,5,14.58,0.879,343.2,258.4,0,9,shortest,7,10146.0,site budget exhausted
231.4,303.4,5,11.95,0.547,217.4,422.8,0,0,shortest,8,7444.7,site budget exhausted
144.5,144.5,5,13.84,0.61,241.7,236.9,0,0,shortest,9,6446.7,site budget exhausted
74.8,74.8,5,15.91,0.659,259.7,113.4,0,0,shortest,10,6052.4,site budget exhausted
214.6,214.6,5,16.56,0.705,279.5,304.4,0,0,shortest,11,8466.4,site budget exhausted
268.3,268.3,5,12.76,0.609,243.4,440.7,0,0,shortest,12,8503.7,site budget exhausted
423.7,430.8,5,11.46,0.574,230.9,737.7,0,0,shortest,13,8843.1,site budget exhausted
268.3,277.2,5,18.87,0.773,305.6,347.3,0,0,shortest,14,7055.9,site budget exhausted
119.9,119.9,5,11.14,0.558,224.4,214.8,0,0,shortest,15,7907.9,site budget exhausted
319.5,339.2,5,23.91,0.927,365.7,344.7,0,0,resource,1,8570.2,site budget exhausted
249.6,249.6,5,17.01,0.776,312.3,321.5,0,0,resource,2,6400.6,site budget exhausted
208.4,208.4,5,24.47,0.934,368.3,223.2,0,0,resource,3,6861.3,site budget exhausted
158.4,158.4,5,18.89,0.754,296.7,210.1,0,0,resource,4,6780.7,site budget exhausted
406.3,526.3,5,23.1,0.897,352.8,453.1,0,0,resource,5,6474.4,site budget exhausted
288.7,293.2,5,17.54,0.731,289.9,394.7,0,0,resource,6,6483.2,site budget exhausted
240.5,295.0,5,14.61,0.961,373.0,250.3,0,12,resource,7,10146.0,site budget exhausted
257.7,257.7,5,19.2,0.74,289.8,348.3,0,0,resource,8,7444.7,site budget exhausted
300.0,300.0,5,13.83,0.608,240.8,493.5,0,0,resource,9,6446.7,site budget exhausted
211.9,211.9,5,22.64,0.835,325.4,253.6,0,0,resource,10,6052.4,site budget exhausted
293.2,293.2,5,16.08,0.694,275.3,422.6,0,0,resource,11,8466.4,site budget exhausted
226.9,226.9,5,12.4,0.597,238.8,380.0,0,0,resource,12,8503.7,site budget exhausted
229.9,229.9,5,11.48,0.574,230.8,400.5,0,0,resource,13,8843.1,site budget exhausted
268.3,277.2,5,18.87,0.773,305.6,347.3,0,0,resource,14,7055.9,site budget exhausted
